id,name,state,suburb,postcode,address,latitude,longitude,phone,website,provider,serviceType,homeHD,peritoneal,transplant,paediatric,indigenousSupport,wheelchair,notes,status
nsw-mayo-private-hospital,Mayo Private Hospital,NSW,,,"2 Potoroo Dr, Taree NSW 2430, Australia",-31.881691900000003,152.4316149,(02) 6539 3600,http://www.mayoprivate.com.au/,,,,,,,,,,
nsw-nepean-hospital,Nepean Hospital,NSW,,,"Somerset St, Kingswood NSW 2747, Australia",-33.7592974,150.7137103,(02) 4734 2000,https://www.nsw.gov.au/departments-and-agencies/nbmlhd/locations/nepean-hospital,,,,,,,,,,
nsw-newcastle-dialysis-centre,Newcastle Dialysis Centre,NSW,,,,,,,,,,,,,,,,,
nsw-orange-health-service,Orange Health Service,NSW,,,"1530 Forest Rd, Orange NSW 2800, Australia",-33.317326699999995,149.09395519999998,(02) 6369 3000,https://www.nsw.gov.au/health/wnswlhd/service-directory/orange-health-service,,,,,,,,,,
nsw-port-macquarie-base-hospital-,Port Macquarie Base Hospital ,NSW,,,"Wrights Rd, Port Macquarie NSW 2444, Australia",-31.451936500000002,152.8782913,(02) 5524 2000,http://mnclhd.health.nsw.gov.au/about/hospitals/port-macquarie-base-hospital/,,,,,,,,,,
nsw-royal-north-shore-hospital,Royal North Shore Hospital,NSW,,,"Reserve Rd, St Leonards NSW 2065, Australia",-33.8215624,151.19145659999998,(02) 9926 7111,https://www.nslhd.health.nsw.gov.au/RNSH/Pages/default.aspx,,,,,,,,,,
nsw-royal-prince-alfred-hospital,Royal Prince Alfred Hospital,NSW,,,"50 Missenden Rd, Camperdown NSW 2050, Australia",-33.8893087,151.183123,(02) 9515 6111,https://www.slhd.nsw.gov.au/rpa/,,,,,,,,,,
nsw-south-west-sydney-renal-service,South West Sydney Renal Service,NSW,,,"Panorama Parade, Blacktown NSW 2148, Australia",-33.7771464,150.9181599,(02) 8670 8330,,,,,,,,,,,
nsw-st-george-hospital,St George Hospital,NSW,,,"Acute Services Building, Level 4 Gray St, Kogarah NSW 2217, Australia",-33.9677739,151.1331468,(02) 9113 3227,https://stgeorgeicu.com/,,,,,,,,,,
nsw-st-vincent-s-hospital-sydney,St Vincent’s Hospital Sydney,NSW,,,"390 Victoria St, Darlinghurst NSW 2010, Australia",-33.88029240000001,151.2198109,(02) 8382 1111,https://www.svhs.org.au/,,,,,,,,,,
nsw-st-vincent-s-lismore-private-dialysis-centre,St Vincent’s Lismore Private Dialysis Centre,NSW,,,"20 Dalley St, East Lismore NSW 2480, Australia",-28.8200338,153.28733929999999,(02) 6627 9600,https://svh.org.au/,,,,,,,,,,
nsw-sydney-adventist-hospital,Sydney Adventist Hospital,NSW,,,"185 Fox Valley Rd, Wahroonga NSW 2076, Australia",-33.7332733,151.09910449999998,(02) 9480 9111,https://www.sah.org.au/,,,,,,,,,,
nsw-sydney-children-s-hospital-,Sydney Children’s Hospital ,NSW,,,"High St, Randwick NSW 2031, Australia",-33.9171504,151.2382758,(02) 9382 1111,https://www.schn.health.nsw.gov.au/,,,,,,,,,,
nsw-tamworth-hospital,Tamworth Hospital,NSW,,,"31 Dean St, North Tamworth NSW 2340, Australia",-31.073597199999995,150.9251419,(02) 6767 7700,https://www.hnehealth.nsw.gov.au/facilities/hospitals/tamworth-hospital,,,,,,,,,,
nsw-the-children-s-hospital-at-westmead,The Children’s Hospital at Westmead,NSW,,,"Corner Hawkesbury Road and, Hainsworth St, Westmead NSW 2145, Australia",-33.801513299999996,150.992002,(02) 7825 0000,https://www.schn.health.nsw.gov.au/,,,,,,,,,,
nsw-the-prince-of-wales-hospital,The Prince of Wales Hospital,NSW,,,"Barker St, Randwick NSW 2031, Australia",-33.9187928,151.2386836,(02) 9382 2222,https://www.seslhd.health.nsw.gov.au/prince-of-wales-hospital,,,,,,,,,,
nsw-tweed-valley-hospital,Tweed Valley Hospital,NSW,,,"771 Cudgen Rd, Cudgen NSW 2487, Australia",-28.264356199999998,153.56686,(02) 6677 2000,https://nnswlhd.health.nsw.gov.au/hospitals/tweed-valley-hospital,,,,,,,,,,
nsw-wagga-wagga-base-hospital,Wagga Wagga Base Hospital,NSW,,,"Edward St, Wagga Wagga NSW 2650, Australia",-35.1185555,147.3574933,(02) 5943 1000,http://www.service.nsw.gov.au/nswgovdirectory/wagga-wagga-base-hospital,,,,,,,,,,
nsw-westmead-hospital,Westmead Hospital,NSW,,,"Cnr Hawkesbury Road, and, Darcy Rd, Westmead NSW 2145, Australia",-33.8025118,150.9890393,(02) 8890 5555,https://www.nsw.gov.au/departments-and-agencies/nsw-health/service-directory/westmead-hospital,,,,,,,,,,
nsw-wollongong-hospital,Wollongong Hospital,NSW,,,"Loftus St, Wollongong NSW 2500, Australia",-34.4246464,150.88281179999998,(02) 4222 5000,https://www.islhd.health.nsw.gov.au/hospitals/wollongong-hospital,,,,,,,,,,
act-canberra-hospital,Canberra Hospital,ACT,,,"Yamba Dr, Garran ACT 2605, Australia",-35.346380499999995,149.10119899999998,(02) 5124 0000,"https://www.canberrahealthservices.act.gov.au/before,-during-and-after-your-care/staying-at-canberra-hospital",,,,,,,,,,
vic-alfred-hospital,Alfred Hospital,VIC,,,"55 Commercial Rd, Melbourne VIC 3004, Australia",-37.8457479,144.9818979,(03) 9076 2000,http://www.alfredhealth.org.au/the-alfred,,,,,,,,,,
vic-austin-hospital,Austin Hospital,VIC,,,"Austin Hospital Tower, 145 Studley Rd, Heidelberg VIC 3084, Australia",-37.7562478,145.0587533,(03) 9496 5000,http://www.austin.org.au/,,,,,,,,,,
vic-ballarat-hospital,Ballarat Hospital,VIC,,,"101 Drummond St N, Lake Wendouree VIC 3350, Australia",-37.557744,143.847746,(03) 5320 2111,https://www.sjog.org.au/our-locations/st-john-of-god-ballarat-hospital,,,,,,,,,,
vic-bendigo-hospital,Bendigo Hospital,VIC,,,"133-145 Lily St, Bendigo VIC 3550, Australia",-36.7620769,144.2633284,(03) 5434 3434,https://www.sjog.org.au/bendigo,,,,,,,,,,
vic-diamond-valley-b-braun-renal-care-centre,Diamond Valley B.Braun Renal Care Centre,VIC,,,,,,,,,,,,,,,,,
vic-eastern-health-integrated-renal-services,Eastern Health Integrated Renal Services,VIC,,,"Cnr Princes Hwy &, Heatherton Rd, Noble Park VIC 3174, Australia",-37.9663681,145.1921275,(03) 9549 6555,http://www.southeasternprivate.com.au/,,,,,,,,,,
vic-epworth-eastern-hospital,Epworth Eastern Hospital,VIC,,,"1 Arnold St, Box Hill VIC 3128, Australia",-37.8146135,145.1195945,(03) 8807 7100,https://www.epworth.org.au/who-we-are/our-locations/epworth-eastern,,,,,,,,,,
vic-epworth-geelong-hospital,Epworth Geelong Hospital,VIC,,,"1 Epworth Pl, Waurn Ponds VIC 3216, Australia",-38.193868099999996,144.3025209,(03) 5271 7777,https://www.epworth.org.au/who-we-are/our-locations/epworth-geelong,,,,,,,,,,
vic-epworth-richmond-hospital-,Epworth Richmond Hospital ,VIC,,,"89 Bridge Rd, Richmond VIC 3121, Australia",-37.8172016,144.9930606,(03) 9426 6666,https://www.epworth.org.au/who-we-are/our-locations/epworth-richmond,,,,,,,,,,
vic-forest-hill-dialysis-centre,Forest Hill Dialysis Centre,VIC,,,,,,,,,,,,,,,,,
vic-malvern-dialysis-centre,Malvern Dialysis Centre,VIC,,,"76 Glenferrie Rd, Malvern VIC 3144, Australia",-37.862802699999996,145.0285605,(03) 7033 0288,https://familyhealthclinics.com.au/?utm_source=google&utm_medium=GBP+organic&utm_campaign=google_my_business,,,,,,,,,,
vic-monash-children-s-centre,Monash Children’s Centre,VIC,,,"17 Murray St, Clayton VIC 3168, Australia",-37.9182558,145.12333719999998,(03) 8572 1222,http://www.mcpc.com.au/,,,,,,,,,,
vic-monash-medical-centre,Monash Medical Centre,VIC,,,"1361 Centre Rd, Clayton VIC 3168, Australia",-37.927709199999995,145.1149958,(03) 9562 9222,https://qualitashealth.com.au/our-practices/monash-doctors-surgery/,,,,,,,,,,
vic-north-melbourne-b-braun-renal-care-centre,North Melbourne B.Braun Renal Care Centre,VIC,,,,,,,,,,,,,,,,,
vic-northern-health-service-melbourne,Northern Health Service Melbourne,VIC,,,"1231 Plenty Rd, Bundoora VIC 3083, Australia",-37.7013275,145.0557508,(03) 9495 3100,,,,,,,,,,,
vic-peninsula-health-renal-services,Peninsula Health Renal Services,VIC,,,"Peninsula Private Hospital, Ground Floor/525 McClelland Dr, Langwarrin VIC 3910, Australia",-38.157496099999996,145.1695779,(03) 8784 3600,https://www.genesiscare.com/au/our-centres/Peninsula-Private-Hospital??utm_source=local-pph&utm_medium=organic&utm_campaign=gmb,,,,,,,,,,
vic-royal-children-s-hospital,Royal Children’s Hospital,VIC,,,"50 Flemington Rd, Parkville VIC 3052, Australia",-37.7935429,144.94967459999998,(03) 9345 5522,http://www.rch.org.au,,,,,,,,,,
vic-south-eastern-private-hospital-dialysis-centre,South Eastern Private Hospital Dialysis Centre,VIC,,,"1 Arnold St, Box Hill VIC 3128, Australia",-37.8146135,145.1195945,(03) 8807 7100,https://www.epworth.org.au/who-we-are/our-locations/epworth-eastern,,,,,,,,,,
vic-st-vincent-s-hospital-melbourne,St Vincent’s Hospital Melbourne,VIC,,,"20-32 Fitzroy St, Fitzroy VIC 3065, Australia",-37.807485899999996,144.9759593,,,,,,,,,,,,
vic-sunshine-private-dialysis-centre-fresenius,Sunshine Private Dialysis Centre Fresenius,VIC,,,"145-149 Furlong Rd, St Albans VIC 3021, Australia",-37.7611305,144.81627129999998,,,,,,,,,,,,
vic-the-royal-melbourne-hospital,The Royal Melbourne Hospital,VIC,,,"300 Grattan St, Parkville VIC 3050, Australia",-37.7986657,144.955973,(03) 9342 7000,https://www.thermh.org.au/,,,,,,,,,,
vic-university-hospital-geelong-barwon-health,University Hospital Geelong Barwon Health,VIC,,,"59 Sydney Parade, Geelong VIC 3220, Australia",-38.152502999999996,144.368875,1300 715 673,http://www.barwonhealth.org.au/,,,,,,,,,,
vic-western-health-service,Western Health Service,VIC,,,"195-209 Barries Rd, Melton West VIC 3337, Australia",-37.6869039,144.5579637,(03) 9747 7600,http://www.bmm.wh.org.au/,,,,,,,,,,
tas-launceston-general-hospital,Launceston General Hospital,TAS,,,"274-280 Charles St, Launceston TAS 7250, Australia",-41.446511699999995,147.14290939999998,(03) 6777 6777,https://www.health.tas.gov.au/hospital/lgh,,,,,,,,,,
tas-royal-hobart-hospital,Royal Hobart Hospital,TAS,,,"48 Liverpool St, Hobart TAS 7000, Australia",-42.880215,147.3298533,(03) 6166 8308,https://www.health.tas.gov.au/%20hospitals/royal-hobart-hospital,,,,,,,,,,
sa-central-adelaide-local-health-network,Central Adelaide Local Health Network,SA,,,"Port Rd, Adelaide SA 5000, Australia",-34.9210245,138.58724759999998,(08) 7074 0000,https://www.rah.sa.gov.au/,,,,,,,,,,
sa-flinders-medical-centre,Flinders Medical Centre,SA,,,"Flinders Dr, Bedford Park SA 5042, Australia",-35.0226671,138.5690943,(08) 8204 5511,http://www.sahealth.sa.gov.au/FMC,,,,,,,,,,
sa-northern-adelaide-local-health-network,Northern Adelaide Local Health Network,SA,,,,,,,,,,,,,,,,,
sa-women-s-and-children-s-hospital,Women’s and Children’s Hospital,SA,,,"1 Kermode St, North Adelaide SA 5006, Australia",-34.9125558,138.5998606,,,,,,,,,,,,
nt-alice-springs-hospital,Alice Springs Hospital,NT,,,"6 Gap Rd, The Gap NT 0870, Australia",-23.7063654,133.8786089,(08) 8951 7777,https://nt.gov.au/wellbeing/hospitals-health-services/alice-springs-hospital,,,,,,,,,,
nt-royal-darwin-hospital,Royal Darwin Hospital,NT,,,"105 Rocklands Dr, Tiwi NT 0810, Australia",-12.3557603,130.88245899999998,(08) 8922 8888,https://nt.gov.au/wellbeing/hospitals-health-services/royal-darwin-hospital/introduction,,,,,,,,,,
wa-fiona-stanley-hospital,Fiona Stanley Hospital,WA,,,"11 Robin Warren Dr, Murdoch WA 6150, Australia",-32.0703883,115.84626689999999,(08) 6152 2222,http://www.fsh.health.wa.gov.au/,,,,,,,,,,
wa-perth-children-s-hospital,Perth Children’s Hospital,WA,,,"15 Hospital Ave, Nedlands WA 6009, Australia",-31.969269699999998,115.8172232,(08) 6456 2222,https://www.pch.health.wa.gov.au/,,,,,,,,,,
wa-royal-perth-hospital,Royal Perth Hospital,WA,,,"Victoria Square, Perth WA 6000, Australia",-31.953755700000002,115.8663522,(08) 9224 2244,https://www.rph.health.wa.gov.au/,,,,,,,,,,
wa-sir-charles-gairdner-hospital,Sir Charles Gairdner Hospital,WA,,,"Hospital Ave, Nedlands WA 6009, Australia",-31.968223599999998,115.81604129999998,(08) 6457 3333,http://www.scgh.health.wa.gov.au/,,,,,,,,,,
